id,title,author,publisher,published_at,subjects
29,Progressive leading edge infrastructure,Derrek Birchenough,"Leannon, Mosciski and Osinski",1982-07-22,Drama|Romance
30,Customizable local application,See Eveque,Kovacek-Swaniawski,1990-02-15,Horror|Thriller
31,Assimilated optimal project,Henriette Ruzicka,Kilback-Wuckert,2009-05-19,Drama|Fantasy|War
32,Inverse multimedia conglomeration,Jo-anne Kitchener,Langworth LLC,1976-04-02,Documentary|Drama
33,Open-source actuating hierarchy,Sharia Ramel,Jacobi-Blanda,1974-01-27,Drama|Film-Noir|Mystery|Romance
34,Assimilated non-volatile migration,Kelley MacCumeskey,Leannon Group,1987-02-18,Horror|Musical
35,Multi-channelled interactive time-frame,Corly Ruste,VonRueden LLC,2013-09-14,Horror
36,Horizontal 5th generation benchmark,Avie Gerin,Crona LLC,1997-11-12,Comedy|Drama
37,Focused bifurcated firmware,Marielle Hardie,Hirthe-Barton,1989-03-17,Comedy|Drama
38,Open-source background website,Morry Axby,Anderson and Sons,2016-11-08,Documentary
39,Assimilated tertiary system engine,Boy Headrick,"Wolf, Jacobi and Rohan",2003-08-23,Drama
40,Stand-alone explicit Graphical User Interface,Codie Jouen,"Crooks, Jacobi and Bartell",2011-06-05,Documentary|War
41,Quality-focused bandwidth-monitored standardization,Ellis Matejic,Leannon-Schuster,2004-08-05,Comedy|Drama
42,Multi-layered transitional orchestration,Merwyn Raund,"Tillman, Collins and Luettgen",1980-05-27,Drama
43,Visionary dedicated matrices,Brianne Hayton,Becker Group,2019-05-03,Adventure|Comedy
44,Mandatory static system engine,Shaughn Cormode,Wyman Inc,1981-12-25,Comedy|Crime
45,Team-oriented homogeneous challenge,Elise Seale,"Jast, Purdy and Stamm",2003-05-14,Action
46,Pre-emptive mission-critical projection,Otto Case,Rosenbaum-Barrows,2002-04-08,Comedy|Drama|Romance
47,Vision-oriented mobile capacity,Ariela Revan,Barrows-Gutmann,1980-03-02,Action|Crime|Drama
48,Exclusive static neural-net,Dolorita Ivashev,Bayer-Wiza,1972-07-03,Drama|Romance
49,Exclusive full-range groupware,Isidor Mayze,Simonis-Hermiston,1984-03-09,Drama|Romance
50,Customizable mission-critical matrices,Claudio Wharf,Erdman-Wyman,2002-05-06,Drama|Romance
51,Ergonomic fresh-thinking synergy,Winston Sidebotham,Orn-Heaney,1997-06-17,Comedy|Romance
52,Fundamental empowering help-desk,Granthem Elph,Smith Inc,1976-04-29,Comedy|Crime
53,Focused optimal functionalities,Wernher Jeffrey,"Cruickshank, Bode and McGlynn",1993-02-03,Comedy|Drama
54,Versatile well-modulated functionalities,Selie Haugh,"Schuppe, Luettgen and Renner",1993-01-24,Drama|Romance
55,Optimized responsive ability,Barny Osinin,"Fritsch, Balistreri and Mills",1985-05-17,Comedy
56,Cross-group coherent access,Haily Barwis,"Willms, Monahan and Heller",2011-05-27,Drama|Romance
57,Front-line context-sensitive product,Karon Kimmel,Johnston-Grimes,1986-11-12,Drama
58,Networked non-volatile encryption,Chrissie Dolbey,Jacobson-Hettinger,1973-11-02,Horror|Mystery|Thriller
59,Devolved needs-based attitude,Marshal Ribeiro,"Hane, Hintz and Mohr",2017-09-04,Comedy
60,Centralized mission-critical local area network,Ellerey Simanek,Bergstrom Group,2020-03-28,Crime|Drama
61,Versatile directional budgetary management,Antonina Ofer,Watsica and Sons,1982-01-10,Adventure|Comedy
62,Ergonomic demand-driven collaboration,Clayborn Escott,Denesik and Sons,2018-02-07,Comedy|Drama
63,Triple-buffered fresh-thinking internet solution,Avigdor Colbron,Hills and Sons,1980-04-19,Comedy|Drama|Romance
64,Upgradable bottom-line firmware,Adrienne Seywood,Harber-Harris,1995-02-14,Documentary
65,Optional 4th generation monitoring,Vanny Akester,Auer-Miller,1983-02-05,Drama|Sci-Fi
66,De-engineered maximized internet solution,Niall Cudd,"Morar, Leffler and Ledner",1990-04-26,Drama
67,Multi-lateral real-time application,Adiana Burne,"Roob, Lueilwitz and Goyette",2000-10-20,Drama|War
68,Optional motivating productivity,Brynne Le Brun,Armstrong-Dooley,1992-08-07,Children
69,Cross-group optimizing array,Eula Chipperfield,Ankunding Group,1993-09-27,Drama|War
70,Switchable encompassing database,Genevieve Ida,Huels-Hammes,2015-09-23,Comedy
71,Horizontal zero administration approach,Rollins Cassell,"Cronin, Nikolaus and Brown",1977-03-31,Comedy|Documentary
72,Reverse-engineered leading edge monitoring,Morry Loakes,"Pouros, Predovic and Beatty",2020-02-04,Drama
73,Re-engineered object-oriented policy,Araldo Kleinsmuntz,"Kertzmann, Bartell and Goldner",1971-05-18,Drama
74,Cross-group web-enabled model,Darsie Taysbil,Luettgen Inc,1972-02-03,Fantasy|Horror|Mystery|Romance
75,Fundamental transitional firmware,Andrus Swancott,Schneider-Kunde,2005-04-09,Comedy|Drama
76,Enterprise-wide full-range project,Antonia Mccaull,Oberbrunner and Sons,2010-08-30,Drama
77,Re-contextualized global website,Wesley Waldron,West-Rath,1991-09-03,Drama|Romance
78,Proactive 6th generation projection,Thatch Yesenin,Bogan Inc,1976-08-24,Thriller|War
79,Enhanced analyzing functionalities,Brok Pepperrall,Keebler-Farrell,1976-09-15,Children|Comedy|Fantasy
80,Stand-alone optimal ability,Lorraine Heakins,Romaguera-Bradtke,1983-11-15,Horror
81,Managed bandwidth-monitored projection,Lev Towne,"Zulauf, Bergnaum and McLaughlin",1970-07-15,Comedy|Drama|Romance
82,Cross-group directional concept,Philip Piff,D'Amore-Connelly,2003-07-12,Crime|Drama
83,Multi-layered cohesive leverage,Pier Chasmoor,Rath-Hickle,1987-03-11,Drama
84,User-friendly transitional challenge,Lara Deedes,"Legros, Corkery and Gulgowski",2013-11-24,Horror
85,Cloned explicit pricing structure,Sherye Schutt,"Harris, Bechtelar and Thiel",2009-04-07,Horror|Thriller
86,Seamless tertiary attitude,Adrianna Satterley,Grant Group,1991-09-17,Comedy
87,Polarised bottom-line product,Edin Corbridge,Brown-Conroy,1982-02-03,Comedy|Fantasy
88,Future-proofed radical intranet,Tomasina McConville,"O'Connell, Nolan and Kilback",1985-03-02,Drama
89,Persevering empowering help-desk,De witt Androsik,VonRueden Inc,1990-09-21,Horror|Sci-Fi
90,Optional neutral task-force,Veronica Voss,"Upton, Mueller and Adams",1984-06-14,Horror|Mystery|Sci-Fi
91,Decentralized hybrid knowledge user,Neron Abbe,"Windler, Raynor and Stroman",2020-02-11,Drama
92,User-centric multi-state strategy,Meaghan Mansfield,"Gaylord, Mosciski and O'Reilly",1997-04-01,Drama
93,Public-key solution-oriented model,Adams Lingfoot,Ruecker-Cole,1978-11-29,Fantasy|Horror
94,Self-enabling local monitoring,Maurits Reburn,Schultz Group,1998-04-25,Comedy|Drama
95,Focused solution-oriented internet solution,Jeanette Halse,"Langworth, Ernser and Hyatt",2019-06-16,Horror
96,Optional systematic local area network,Tamera Belsher,Rohan-Leuschke,2004-12-12,Drama
97,Up-sized analyzing moratorium,Torrence Carville,"Gerlach, Hettinger and Weber",1986-06-09,Drama
98,Reverse-engineered global solution,Sayers Goodyear,"Prosacco, Sanford and Bosco",2016-03-14,Comedy|Horror
99,Open-architected analyzing local area network,Rozina Harry,Heaney-Ward,2003-04-29,Comedy|Drama|Romance
100,Polarised upward-trending structure,Borden Filyashin,Haley-Turcotte,1976-06-14,Horror|Thriller
